country_code,country_name,is_benchmark,year,mobile_sub,broadband,net_user,agr_emp,ind_emp,srv_emp,youth_unemp,unemp,ind_emp_n,agr_emp_n,srv_emp_n,unemp_n,youth_unemp_n,net_user_n,mobile_sub_n,broadband_n,evi_main,evi_robust_010,evi_robust_020,dri,risk_gap,risk_gap_robust_010,risk_gap_robust_020
IDN,Indonesia,False,2015,129.468797674053,1.52139473860752,22.062742603379,32.7770295687741,22.1218830739339,45.1010964067699,17.224,4.514,0.5650489290286392,0.44861469478476806,0.3726677169738165,0.9004302397049785,1.0,0.17065173814778234,0.6014168958361898,0.027830789121087128,0.73434517759179,0.6981774315299927,0.6620096854681953,0.2666331410350198,0.4677120365567702,0.4315442904949729,0.3953765444331755
IDN,Indonesia,False,2016,145.704251250337,1.9753784545485,25.447353701827,31.5553329221477,21.8107246597619,46.6339424180905,15.997,4.301,0.5539534448816864,0.43185280422167666,0.39613519110967016,0.8567916410571604,0.9271637183901222,0.20760671831332428,0.7264563700905926,0.03749423688647413,0.698545434170662,0.6683044098645627,0.6380633855584635,0.32385244176346367,0.3746929924071983,0.34445196810109907,0.31421094379499986
IDN,Indonesia,False,2017,162.782511760443,2.32504234259027,32.335806250688,30.5222024429742,22.1220312359547,47.3557647336161,14.553,3.783,0.5650542122839783,0.41767807428595954,0.40718610320075826,0.7506658471624666,0.8414460406031106,0.28281849890199035,0.8579868324413803,0.04493714419545139,0.6510798504837797,0.6266904757554775,0.6023011010271755,0.395247491846274,0.2558323586375057,0.23144298390920354,0.2070536091809015
IDN,Indonesia,False,2018,118.330216938024,3.28729591276809,39.9046386385762,29.4464900769988,22.3847562001086,48.1687622744529,16.369,4.387,0.5744226257415909,0.40291911345420584,0.4196328843002264,0.8744109813562794,0.9492461118366378,0.3654590276466304,0.5156316559826035,0.06541956853350714,0.7088248837115477,0.6799056837704156,0.6509864838292836,0.31550341738758036,0.39332146632396736,0.36440226638283524,0.3354830664417032
IDN,Indonesia,False,2019,125.244348145809,3.77422560918071,47.6906489788375,28.4631336137713,22.4012342408394,49.1356329001475,13.577,3.59,0.5750102101724601,0.3894272916777902,0.43443542234620813,0.7111247695144437,0.7835094384423602,0.4504708205303088,0.5688817439512129,0.07578430083881924,0.624047073376497,0.6050859082734681,0.5861247431704393,0.365045621773447,0.25900145160305,0.24004028650002107,0.22107912139699226
IDN,Indonesia,False,2020,129.40362112725,3.92993769121646,53.72649449,29.3087481652973,21.6344047291476,49.0568463452771,14.773,4.255,0.5476661169296891,0.4010292704590015,0.4332292206631825,0.8473673427576316,0.8545055205983616,0.5163733850079725,0.6009149301160654,0.07909877120054415,0.6699739050097053,0.6462994365750531,0.6226249681404008,0.3987956954415273,0.271178209568178,0.24750374113352575,0.22382927269887348
IDN,Indonesia,False,2021,132.199444256099,4.4874632789818,62.10447842,28.9871998196831,21.7614308372694,49.2513693430476,13.8,3.827,0.5521956944847909,0.396617571208773,0.4362073172138432,0.759680393362016,0.7967470022557284,0.60784865970123,0.6224473284871367,0.09096619993434805,0.634089071491628,0.6143008960638495,0.594512720636071,0.4404207293742382,0.19366834211738976,0.17388016668961132,0.15409199126183276
IDN,Indonesia,False,2022,122.873012230307,4.82151507878823,66.48461277,29.2848629874109,21.8679677163131,48.8471685544592,14.054,3.462,0.5559946541100375,0.4007015616624542,0.4300191081688148,0.6849006351157549,0.8118247655229728,0.6556732910453991,0.5506185895058032,0.0980767900392641,0.621120058725184,0.6020099636695471,0.5828998686139102,0.4347895568634888,0.18633050186169525,0.16722040680605826,0.1481103117504214
IDN,Indonesia,False,2023,125.238194847046,4.81663955789733,69.20836554,28.7792280576249,21.951549784263,49.2692149419358,13.015,3.308,0.5589750765176251,0.3937641624469015,0.436480528695789,0.6533497234173324,0.7501484031817642,0.6854126692674186,0.5688343535140662,0.09797301023438583,0.5973198870944421,0.5812359512545768,0.5651520154147115,0.4507400110052902,0.14657987608915185,0.13049594024928662,0.11441200440942129
IDN,Indonesia,False,2024,122.514946500491,4.92196685438436,72.78075544,27.9600749776458,22.2861723546005,49.7537526677536,13.075,3.301,0.5709072604319575,0.38252523965952656,0.44389867537490535,0.6519155910674043,0.7537100795441054,0.724417918041382,0.5478608993436933,0.100214995557058,0.59918364371437,0.5836551468804236,0.5681266500464771,0.45749793764737773,0.14168570606699232,0.1261572092330459,0.11062871239909938
KHM,Cambodia,False,2015,133.45841400103,0.534485428160887,6.43319107021405,42.4684239936853,24.9213861091188,32.6102017562834,0.744,0.393,0.664875384401529,0.5815823125667239,0.18143536553140183,0.0561360376971932,0.02172622581028137,0.0,0.6321434490339827,0.006823545390091747,0.3352446437106721,0.31986371589274504,0.30448278807481804,0.21298899814135816,0.12225564556931393,0.10687471775138688,0.09149378993345988
KHM,Cambodia,False,2016,125.627644524442,0.615922622642822,32.3984517141849,37.5402628887708,25.7634256473618,36.696322866151,1.137,0.716,0.6949013644880524,0.5139670847227518,0.2439928179784158,0.12231100184388444,0.04505520598361629,0.2835024953180189,0.5718337512630318,0.008557008612235493,0.3531053782478412,0.3421941222208987,0.3312828661939562,0.2879644183977621,0.06514095985007912,0.05422970382313658,0.04331844779619409
KHM,Cambodia,False,2017,115.551192369591,0.831393686402579,32.9002785437986,38.206389128721,25.4909057699602,36.3027275126302,0.382,0.141,0.6851836777994722,0.5231064526387409,0.23796697538853695,0.004507273099774635,0.00023744509082274746,0.28898170696021164,0.49422863392693867,0.013143502128371827,0.31136257341523915,0.30402301361256895,0.29668345380989875,0.265451281005174,0.04591129241006514,0.03857173260739494,0.031232172804724734
KHM,Cambodia,False,2018,119.309943480982,1.02122815035674,65.0,38.999256028288,25.0168550948899,35.9839108164185,0.38,0.129,0.6682796780664381,0.5339847244571491,0.23308597461143965,0.0020487604998975636,0.00011872254541137373,0.6394635009475005,0.5231771483994894,0.017184297782658606,0.3078227190726885,0.3003490446265636,0.29287537018043874,0.3932749823765495,-0.08545226330386102,-0.09292593774998592,-0.10039961219611077
KHM,Cambodia,False,2019,129.957441474291,1.11871609188205,52.305878224498,39.8680962570644,24.4731410912226,35.658762651713,0.378,0.119,0.6488915791644043,0.5459053635714307,0.22810804069688237,0.0,0.0,0.5008623427087417,0.6051802501269922,0.019259415452313983,0.3038485464636074,0.2962744958869349,0.28870044531026245,0.3751006694293493,-0.07125212296574185,-0.07882617354241439,-0.08640022411908682
KHM,Cambodia,False,2020,126.075894769858,1.39770029835926,56.37590027,36.8999777254893,25.1450484861575,37.9549737883533,0.474,0.172,0.6728508793445355,0.5051822608749234,0.26326243654721343,0.010858430649457075,0.005698682179745933,0.545301003337673,0.5752860092956067,0.02519784278350695,0.30703099418564606,0.30265413842180283,0.29827728265795955,0.3819282851389289,-0.07489729095328285,-0.07927414671712607,-0.08365100248096935
KHM,Cambodia,False,2021,117.234785164989,1.98089406311481,60.76269913,37.1315873016896,26.4143976143543,36.4540258308825,0.83,0.396,0.7181141358961346,0.5083599845597299,0.24028331332735253,0.05675066584716247,0.026831295262970435,0.5931984013388373,0.5071950445668346,0.03761164152766128,0.33800172795831956,0.32822988649522283,0.31845804503212616,0.3793350291444444,-0.04133330118612483,-0.05110514264922156,-0.06087698411231823
KHM,Cambodia,False,2022,113.391506572248,2.9638308346303,65.49079895,36.1906415430912,27.0439382363786,36.765430397567,0.687,0.245,0.7405626948082271,0.4954500450301548,0.24505083632736951,0.02581438229870928,0.01834263326605723,0.6448223043476417,0.47759553061475646,0.058534326229094345,0.33229807133969075,0.32357334783845865,0.31484862433722655,0.39365072039716414,-0.061352649057473396,-0.0700773725587055,-0.0788020960599376
KHM,Cambodia,False,2023,120.80911943838,3.64181801068419,68.92549896,35.304617697339,27.5630254285235,37.1323568741375,0.703,0.256,0.7590726352405185,0.48329364370106975,0.2506683853408282,0.0280680188485966,0.01929241362934821,0.6823241818313914,0.5347232485837007,0.07296588716695573,0.3362206274318557,0.32766540322275295,0.3191101790136502,0.43000443919401593,-0.09378381176216022,-0.10233903597126298,-0.11089426018036574
KHM,Cambodia,False,2024,116.091961125929,4.14566160137529,68.47530365,34.1649557689114,28.4335285509441,37.4015058521057,0.704,0.254,0.7901135878703633,0.467657283745449,0.25478898625736673,0.027658266748617086,0.0193517749020539,0.677408710520877,0.49839343540094755,0.08369064677749966,0.34231804352286654,0.3335651377963166,0.3248122320697666,0.41983093089977475,-0.0775128873769082,-0.08626579310345817,-0.09501869883000813
LAO,Laos,False,2015,54.7979496136596,0.213918838751508,18.20000076,72.9649532307863,6.27582116644838,20.7592256027653,3.899,2.006,0.0,1.0,0.0,0.3866011063306699,0.20901104119672326,0.12847627276798257,0.026329569834976942,0.0,0.3489030368818483,0.3140127331936635,0.27912242950547866,0.05160194753431984,0.29730108934752847,0.26241078565934367,0.22752048197115882
LAO,Laos,False,2016,57.2966195875928,0.353548994456637,21.87000084,71.8509145672025,6.37590963228787,21.7731758005097,4.836,2.634,0.0035690180160161712,0.9847151956964035,0.01552331406082357,0.5152632657242368,0.2646325537219518,0.1685472812883196,0.0455734042254283,0.0029721522353123,0.3929876994056327,0.3552412608711518,0.3174948223366709,0.07236427924968673,0.32062342015594597,0.2828769816214651,0.24513054308698418
LAO,Laos,False,2017,52.8887895907566,0.387808918792952,25.51040077,70.5291019202622,6.51502934586047,22.9559052518719,5.779,3.268,0.008529837027068655,0.9665796961891361,0.03363059463863081,0.6451546814177422,0.3206102338834144,0.20829509966233573,0.011625923619633381,0.003701405240750784,0.43731611917123697,0.3969475667179763,0.3565790142647158,0.07454080950757329,0.36277530966366367,0.322406757210403,0.2820382047571425
LAO,Laos,False,2018,51.3792491489602,0.636626171692238,36.27130127,69.8638841171341,6.79373611797991,23.342344814088,5.128,2.897,0.01846813993277201,0.9574527921844113,0.03954688392300836,0.5691456668715426,0.28196604535201236,0.3257883220662981,0.0,0.008997702094781393,0.4098089284726026,0.3727827240176432,0.33575651956268376,0.1115953413870265,0.2982135870855761,0.2611873826306167,0.22416117817565728
